ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,D_410_2,D_410_3,D_420_2.0,D_420_3.0,D_420_4.0,D_420_5.0,D_420_6.0,D_420_7.0,D_43111_2.0,D_43111_3.0,D_43111_4.0,D_43111_5.0,D_43111_6.0,D_405_2,D_43521_2.0,D_43521_3.0,D_43521_4.0,D_43521_5.0,D_43521_6.0,D_43521_7.0,D_470.1_1,D_470.2_1,D_470.3_1,D_470.4_1,D_470.5_1,D_470.6_1,D_4701.1_1,D_4701.2_1,D_4701.3_1,D_4701.4_1,D_4701.5_1,D_4701.6_1,D_4701.7_1,D_4701.8_1,D_470.7_1,D_5414_2,D_5414_3,D_5418_2,D_5418_3,D_5418_4,D_5418_5,D_5418_6
1002,E,E,114.75449999999985,151.6499999999999,148.3370000000001,193.36399999999972,177.59399999999962,187.7004999999997,154.6390000000003,154.53950000000015,121.50150000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1022,E,E,283.19799999999975,275.66700000000003,270.7599999999996,281.39800000000014,195.32950000000042,149.85649999999984,242.8725000000001,251.96449999999973,245.40699999999993,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1027,E,E,155.27899999999985,143.855,158.01549999999975,170.00900000000001,216.32600000000042,198.80550000000056,157.83800000000014,172.57900000000018,145.6289999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1036,E,E,163.15300000000005,193.42150000000046,236.56299999999942,254.2429999999998,298.9824999999997,575.651,567.5854999999996,404.39500000000083,193.5314999999994,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1047,C,4,304.3400000000005,319.2430000000001,350.134,322.81200000000064,382.17850000000016,400.19300000000084,360.9089999999998,371.0260000000002,349.4960000000003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1058,E,E,259.3245000000003,203.0630000000003,249.75199999999973,233.02899999999963,339.9144999999998,360.62700000000063,301.54849999999936,279.4555000000004,245.0660000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1060,E,E,134.7524999999996,191.11299999999974,249.80800000000053,284.9830000000005,377.81199999999967,380.5040000000001,285.7510000000001,297.8725000000005,252.15049999999968,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1107,E,E,299.2474999999996,324.15949999999975,335.9224999999995,351.14300000000037,454.69049999999964,455.1544999999987,387.00899999999984,385.7549999999998,317.05849999999964,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1120,E,E,86.68199999999995,52.741500000000116,59.13750000000013,76.43149999999955,73.78999999999937,78.83900000000014,64.88150000000007,69.38200000000025,84.40100000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1152,C,4,287.8015000000002,301.0124999999993,337.8405,289.0320000000002,348.2459999999997,395.7904999999996,271.637,319.17599999999965,265.9540000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1179,E,E,140.25249999999986,135.01250000000027,210.8279999999997,342.172499999999,502.60050000000007,475.16299999999984,366.8634999999988,228.36899999999932,199.98299999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191,C,4,344.97400000000056,562.4734999999994,610.1814999999984,670.8320000000008,781.6354999999986,822.0865000000001,685.8659999999994,531.2425,407.12900000000053,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
